Region,Status,Population,SNP,Family,Age_SD,Ageatmaturity,Length_SD,Finallength,Growth_SD,growthrate3mm,inverseloggrowth,inversesqrtage,Familymeans_age,Familymeans_length,Familymeans_growth
South,Native,Grasmere, ,GR54, , , , , , , , ,249,5.06066666666667,.0222276
South,Native,Grasmere, ,GR54, , , , , , , , ,249,5.06066666666667,.0222276
South,Native,Grasmere, ,GR54, ,135, ,5.468, , , ,.086066296582387,249,5.06066666666667,.0222276
South,Native,Grasmere, ,GR54, ,205, ,4.591, ,.03,-.285179948337453,.0698430295769578,249,5.06066666666667,.0222276
South,Native,Grasmere, ,GR54, ,257, ,4.92, ,.03,-.285179948337453,.0623782861551805,249,5.06066666666667,.0222276
South,Native,Grasmere, ,GR54, ,258, ,4.967, ,.024793,-.270475398540731,.062257280636469,249,5.06066666666667,.0222276
South,Native,Grasmere, ,GR54, ,281, ,5.24, ,.015707,-.240752178789477,.0596549986271894,249,5.06066666666667,.0222276
South,Native,Grasmere, ,GR54, ,358, ,5.178, ,.010638,-.220103225730768,.052851642258169,249,5.06066666666667,.0222276
South,Native,Grasmere, ,GR55, , , , , , , , ,318.5,5.8455,.02405625
South,Native,Grasmere, ,GR55, , , , , , , , ,318.5,5.8455,.02405625
South,Native,Grasmere, ,GR55, , , , , , , , ,318.5,5.8455,.02405625
South,Native,Grasmere, ,GR55, , , , , , , , ,318.5,5.8455,.02405625
South,Native,Grasmere, ,GR55, ,221, ,5.796, ,.016854,-.244907919740794,.0672672793996312,318.5,5.8455,.02405625
South,Native,Grasmere, ,GR55, ,333, ,5.666, ,.016216,-.242614989573767,.0547996624351191,318.5,5.8455,.02405625
South,Native,Grasmere, ,GR55, ,338, ,6.134, ,.041096,-.31329847191599,.0543928293220421,318.5,5.8455,.02405625
South,Native,Grasmere, ,GR55, ,382, ,5.786, ,.022059,-.262189546146321,.0511644510096651,318.5,5.8455,.02405625
South,Native,Grasmere, ,GR57, , , , , ,.039474,-.309395118307953, ,269,5.366,.0293096
South,Native,Grasmere, ,GR57, , , , , , , , ,269,5.366,.0293096
South,Native,Grasmere, ,GR57, , , , , , , , ,269,5.366,.0293096
South,Native,Grasmere, ,GR57, , , , , , , , ,269,5.366,.0293096
South,Native,Grasmere, ,GR57, ,240, ,5.128, ,.024793,-.270475398540731,.0645497224367903,269,5.366,.0293096
South,Native,Grasmere, ,GR57, ,241, ,5.582, ,.042254,-.316050006502524,.0644156626400831,269,5.366,.0293096
South,Native,Grasmere, ,GR57, ,275, ,5.388, ,.01875,-.251473538965618,.0603022689155527,269,5.366,.0293096
South,Native,Grasmere, ,GR57, ,320, ,5.366, ,.021277,-.259731583903188,.0559016994374947,269,5.366,.0293096
South,Native,Grasmere, ,GR59, , , , , ,.011364,-.223348653112015, ,211.8,5.031,.0212383333333333
South,Native,Grasmere, ,GR59, , , , , , , , ,211.8,5.031,.0212383333333333
South,Native,Grasmere, ,GR59, , , , , , , , ,211.8,5.031,.0212383333333333
South,Native,Grasmere, ,GR59, , , , , , , , ,211.8,5.031,.0212383333333333
South,Native,Grasmere, ,GR59, , , , , , , , ,211.8,5.031,.0212383333333333
South,Native,Grasmere, ,GR59, , , , , , , , ,211.8,5.031,.0212383333333333
South,Native,Grasmere, ,GR59, ,175, ,3.434, ,.017857,-.24842500467565,.0755928946018454,211.8,5.031,.0212383333333333
South,Native,Grasmere, ,GR59, ,182, ,5.919, ,.016854,-.244907919740794,.0741249316661101,211.8,5.031,.0212383333333333
South,Native,Grasmere, ,GR59, ,199, ,4.869, ,.024194,-.268697979652789,.0708881205008336,211.8,5.031,.0212383333333333
